file_name,actual_class,group_name,score bobcat,score deer,score human,score nothing,score rabbit,score skunk,score squirrel
bobcat/LowerTrailCamera_EK000157.JPG,bobcat,5,0.9957073,4.1666764e-05,0.00024272635,0.00027171182,0.0009579002,0.0026548074,0.00012387073
bobcat/LowerTrailCamera_EK000158.JPG,bobcat,5,0.9999999,5.3618745e-11,1.9140667e-09,1.7915333e-09,9.557769e-08,1.8517256e-10,2.4511712e-08
bobcat/LowerTrailCamera_EK000159.JPG,bobcat,5,0.99999964,2.4644925e-07,1.4982085e-07,9.461936e-09,1.496123e-08,7.4421656e-11,9.3004004e-09
bobcat/LowerTrailCamera_EK000270.JPG,bobcat,7,0.26655772,0.0011884099,1.8497551e-06,0.0006153485,0.60935664,0.122035466,0.00024459165
bobcat/LowerTrailCamera_EK000271.JPG,bobcat,8,0.99999976,1.763647e-07,1.6345761e-07,1.4901e-08,4.5910394e-08,5.747431e-10,4.29365e-09
bobcat/LowerTrailCamera_EK000272.JPG,bobcat,8,0.99938273,0.0005217408,3.3458753e-05,1.0055465e-05,4.85809e-05,1.531258e-06,2.0073755e-06
bobcat/LowerTrailCamera_EK000273.JPG,bobcat,8,0.99999595,2.7042388e-09,2.3780595e-08,4.331654e-08,3.9553543e-06,2.6065374e-08,3.0237326e-09
bobcat/LowerTrailCamera_EK000366.JPG,bobcat,12,1.8680323e-05,0.9740021,0.005411525,0.0047160992,0.0037929849,0.011205623,0.00085292524
bobcat/LowerTrailCamera_EK000451.JPG,bobcat,14,0.78753674,2.8787774e-06,2.0934067e-08,7.75446e-07,0.21243596,2.3106593e-05,5.675725e-07
bobcat/LowerTrailCamera_EK000452.JPG,bobcat,14,0.9972567,2.9330683e-06,1.8433988e-07,4.4163144e-07,0.0027258995,1.3844987e-05,6.555307e-08
bobcat/LowerTrailCamera_EK000453.JPG,bobcat,14,0.95366293,1.7890672e-05,3.287121e-08,4.7007427e-07,0.046313796,4.8115135e-06,1.5009466e-07
bobcat/LowerTrailCamera_EK000532.JPG,bobcat,18,0.85505354,7.989029e-05,0.0017839497,0.00061566965,0.011831052,0.13047892,0.00015696346
bobcat/LowerTrailCamera_EK000533.JPG,bobcat,18,0.2613314,1.1918681e-06,3.182484e-05,0.000184166,0.0053610494,0.7330301,6.030614e-05
bobcat/LowerTrailCamera_EK000534.JPG,bobcat,18,0.1420689,2.3596192e-06,1.594195e-05,0.00021745652,0.013126311,0.84453577,3.329528e-05
bobcat/LowerTrailCamera_EK000535.JPG,bobcat,19,0.99999857,5.8885896e-11,1.3952914e-12,6.378181e-11,1.4536257e-06,4.1419156e-11,2.6146852e-12
bobcat/LowerTrailCamera_EK000536.JPG,bobcat,19,0.9999994,2.2963837e-09,9.475786e-09,1.694967e-08,3.089268e-07,2.7856396e-07,4.7631983e-09
bobcat/LowerTrailCamera_EK000537.JPG,bobcat,19,0.9989029,0.00057793397,1.3385464e-07,1.7640923e-06,0.0005132632,2.7522337e-06,1.2925627e-06
bobcat/LowerTrailCamera_EK000718.JPG,bobcat,23,0.99999905,1.6408536e-07,2.1653e-08,2.7081922e-08,7.73979e-07,2.3362912e-08,1.8553957e-08
bobcat/LowerTrailCamera_EK000719.JPG,bobcat,23,1.0,6.6906702e-09,1.741692e-08,9.781991e-10,1.9564371e-08,4.0279124e-10,1.6004161e-09
bobcat/LowerTrailCamera_EK000720.JPG,bobcat,23,0.9999963,3.7005027e-06,3.5671603e-09,3.4159556e-10,1.1626782e-08,1.9956953e-11,2.867565e-11
bobcat/LowerTrailCamera_EK000964.JPG,bobcat,28,0.9975885,8.564902e-08,7.2916095e-09,3.2796745e-08,0.0024078526,3.529089e-06,2.2293587e-08
